Occupation,Factor,Mean,Major?, 
"Bailiffs, Correctional Officers, and Jailers",0.939,"$47,540 ",,
Bailiffs,0.912,"$46,190 ",,
Correctional Officers and Jailers,0.94,"$47,600 ",,
Detectives and Criminal Investigators,1.646,"$83,320 ",,
Fish and Game Wardens,1.157,"$58,570 ",,
Parking Enforcement Workers,0.807,"$40,840 ",,
Police Officers,1.275,"$64,540 ",,
Police and Sheriff's Patrol Officers,1.274,"$64,490 ",,
Transit and Railroad Police,1.408,"$71,280 ",,
Other Protective Service Workers,0.616,"$31,170 ",,
Animal Control Workers,0.742,"$37,580 ",,
Private Detectives and Investigators,1.088,"$55,080 ",,
Security Guards and Gaming Surveillance Officers,0.608,"$30,780 ",,
Gaming Surveillance Officers and Gaming Investigators,0.714,"$36,160 ",,
Security Guards,0.607,"$30,730 ",,
Miscellaneous Protective Service Workers,0.596,"$30,180 ",,
Crossing Guards,0.596,"$30,170 ",,
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.466,"$23,570 ",,
Transportation Security Screeners,0.809,"$40,960 ",,
"Protective Service Workers, All Other",0.67,"$33,930 ",,
Food Preparation and Serving Related Occupations,0.488,"$24,710 ",*,
Supervisors of Food Preparation and Serving Workers,0.735,"$37,220 ",,
Chefs and Head Cooks,0.981,"$49,650 ",,
First-Line Supervisors of Food Preparation and Serving Workers,0.701,"$35,460 ",,
Cooks and Food Preparation Workers,0.495,"$25,040 ",,
Cooks,0.503,"$25,440 ",,
"Cooks, Fast Food",0.427,"$21,610 ",,
"Cooks, Institution and Cafeteria",0.542,"$27,450 ",,
"Cooks, Private Household",0.849,"$42,990 ",,
"Cooks, Restaurant",0.522,"$26,440 ",,
"Cooks, Short Order",0.475,"$24,060 ",,
"Cooks, All Other",0.591,"$29,900 ",,
Food Preparation Workers,0.472,"$23,900 ",,
Food and Beverage Serving Workers,0.459,"$23,220 ",,
Bartenders,0.519,"$26,260 ",,
Fast Food and Counter Workers,0.422,"$21,380 ",,
"Combined Food Preparation and Serving Workers, Including Fast Food",0.419,"$21,230 ",,
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.445,"$22,530 ",,
Waiters and Waitresses,0.499,"$25,280 ",,
"Food Servers, Nonrestaurant",0.477,"$24,150 ",,
Other Food Preparation and Serving Related Workers,0.446,"$22,580 ",,
Dining Room and Cafeteria Attendants and Bartender Helpers,0.455,"$23,050 ",,
Dishwashers,0.439,"$22,210 ",,
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.44,"$22,290 ",,
"Food Preparation and Serving Related Workers, All Other",0.482,"$24,380 ",,
Building and Grounds Cleaning and Maintenance Occupations,0.572,"$28,930 ",*,
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,0.896,"$45,380 ",,
First-Line Supervisors of Housekeeping and Janitorial Workers,0.837,"$42,380 ",,
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.988,"$50,020 ",,
Building Cleaning and Pest Control Workers,0.537,"$27,170 ",,
Building Cleaning Workers,0.532,"$26,940 ",,
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.551,"$27,900 ",,
Maids and Housekeeping Cleaners,0.487,"$24,630 ",,
"Building Cleaning Workers, All Other",0.626,"$31,690 ",,
Pest Control Workers,0.723,"$36,610 ",,
Grounds Maintenance Workers,0.599,"$30,330 ",,
Landscaping and Groundskeeping Workers,0.587,"$29,700 ",,
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.738,"$37,370 ",,
Tree Trimmers and Pruners,0.762,"$38,580 ",,
"Grounds Maintenance Workers, All Other",0.688,"$34,850 ",,
Personal Care and Service Occupations,0.539,"$27,270 ",*,
Supervisors of Personal Care and Service Workers,0.824,"$41,690 ",,
First-Line Supervisors of Gaming Workers,0.98,"$49,600 ",,
First-Line Supervisors of Personal Service Workers,0.801,"$40,550 ",,
Animal Care and Service Workers,0.51,"$25,840 ",,
Animal Trainers,0.687,"$34,760 ",,
Nonfarm Animal Caretakers,0.497,"$25,170 ",,
Entertainment Attendants and Related Workers,0.462,"$23,390 ",,
Gaming Services Workers,0.473,"$23,950 ",,
Gaming Dealers,0.453,"$22,910 ",,
Gaming and Sports Book Writers and Runners,0.544,"$27,550 ",,
"Gaming Service Workers, All Other",0.591,"$29,910 ",,
Motion Picture Projectionists,0.49,"$24,790 ",,
"Ushers, Lobby Attendants, and Ticket Takers",0.446,"$22,580 ",,
Miscellaneous Entertainment Attendants and Related Workers,0.464,"$23,480 ",,
Amusement and Recreation Attendants,0.45,"$22,760 ",,
Costume Attendants,0.942,"$47,700 ",,
"Locker Room, Coatroom, and Dressing Room Attendants",0.507,"$25,670 ",,
"Entertainment Attendants and Related Workers, All Other",0.573,"$29,010 ",,
Funeral Service Workers,0.786,"$39,780 ",,
Embalmers,0.89,"$45,040 ",,
Funeral Attendants,0.536,"$27,120 ",,
"Morticians, Undertakers, and Funeral Directors",1.112,"$56,300 ",,
Personal Appearance Workers,0.589,"$29,840 ",,
"Barbers, Hairdressers, Hairstylists and Cosmetologists",0.602,"$30,480 ",,
Barbers,0.602,"$30,480 ",,
"Hairdressers, Hairstylists, and Cosmetologists",0.602,"$30,490 ",,
Miscellaneous Personal Appearance Workers,0.561,"$28,410 ",,
"Makeup Artists, Theatrical and Performance",1.369,"$69,310 ",,
Manicurists and Pedicurists,0.493,"$24,980 ",,
Shampooers,0.428,"$21,650 ",,
Skincare Specialists,0.694,"$35,130 ",,
"Baggage Porters, Bellhops, and Concierges",0.575,"$29,110 ",,
Baggage Porters and Bellhops,0.516,"$26,100 ",,
Concierges,0.646,"$32,700 ",,
Tour and Travel Guides,0.576,"$29,180 ",,
Other Personal Care and Service Workers,0.519,"$26,280 ",,
Childcare Workers,0.469,"$23,760 ",,
Personal Care Aides,0.476,"$24,100 ",,
Recreation and Fitness Workers,0.69,"$34,930 ",,
Fitness Trainers and Aerobics Instructors,0.864,"$43,720 ",,
Recreation Workers,0.552,"$27,950 ",,
Residential Advisors,0.57,"$28,850 ",,
"Personal Care and Service Workers, All Other",0.548,"$27,760 ",,
Sales and Related Occupations,0.804,"$40,680 ",*,
First-Line Supervisors of Sales Workers,0.997,"$50,480 ",,
First-Line Supervisors of Retail Sales Workers,0.861,"$43,580 ",,
First-Line Supervisors of Non-Retail Sales Workers,1.647,"$83,370 ",,
Retail Sales Workers,0.505,"$25,560 ",,
Cashiers,0.438,"$22,160 ",,
Cashiers,0.437,"$22,130 ",,
Gaming Change Persons and Booth Cashiers,0.513,"$25,950 ",,
Counter and Rental Clerks and Parts Salespersons,0.61,"$30,890 ",,
Counter and Rental Clerks,0.588,"$29,740 ",,
Parts Salespersons,0.65,"$32,920 ",,
Retail Salespersons,0.542,"$27,460 ",,
"Sales Representatives, Services",1.377,"$69,680 ",,
Advertising Sales Agents,1.205,"$61,020 ",,
Insurance Sales Agents,1.323,"$66,990 ",,
"Securities, Commodities, and Financial Services Sales Agents",1.925,"$97,440 ",,
Travel Agents,0.807,"$40,840 ",,
"Sales Representatives, Services, All Other",1.246,"$63,050 ",,
"Sales Representatives, Wholesale and Manufacturing",1.433,"$72,540 ",,
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.818,"$92,010 ",,
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.343,"$67,960 ",,
Other Sales and Related Workers,0.975,"$49,340 ",,
"Models, Demonstrators, and Product Promoters",0.629,"$31,830 ",,
Demonstrators and Product Promoters,0.629,"$31,830 ",,
Models,0.63,"$31,870 ",,
Real Estate Brokers and Sales Agents,1.247,"$63,130 ",,
Real Estate Brokers,1.5,"$75,910 ",,
Real Estate Sales Agents,1.178,"$59,630 ",,
Sales Engineers,2.113,"$106,950 ",,
Telemarketers,0.547,"$27,670 ",,
Miscellaneous Sales and Related Workers,0.776,"$39,300 ",,
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.558,"$28,260 ",,
"Sales and Related Workers, All Other",0.794,"$40,180 ",,
Office and Administrative Support Occupations,0.75,"$37,950 ",*,
First-Line Supervisors of Office and Administrative Support Workers,1.156,"$58,540 ",,
Communications Equipment Operators,0.62,"$31,390 ",,
"Switchboard Operators, Including Answering Service",0.604,"$30,550 ",,
Telephone Operators,0.759,"$38,410 ",,
"Communications Equipment Operators, All Other",0.848,"$42,910 ",,
Financial Clerks,0.762,"$38,580 ",,
Bill and Account Collectors,0.744,"$37,650 ",,
Billing and Posting Clerks,0.76,"$38,460 ",,
"Bookkeeping, Accounting, and Auditing Clerks",0.812,"$41,110 ",,
Gaming Cage Workers,0.557,"$28,210 ",,
Payroll and Timekeeping Clerks,0.888,"$44,950 ",,
Procurement Clerks,0.836,"$42,320 ",,
Tellers,0.571,"$28,880 ",,
"Financial Clerks, All Other",0.842,"$42,630 ",,
Information and Record Clerks,0.69,"$34,930 ",,
Brokerage Clerks,1.044,"$52,850 ",,
Correspondence Clerks,0.753,"$38,100 ",,
"Court, Municipal, and License Clerks",0.785,"$39,760 ",,
"Credit Authorizers, Checkers, and Clerks",0.784,"$39,670 ",,
Customer Service Representatives,0.704,"$35,650 ",,
"Eligibility Interviewers, Government Programs",0.881,"$44,620 ",,
File Clerks,0.636,"$32,200 ",,
"Hotel, Motel, and Resort Desk Clerks",0.479,"$24,250 ",,
"Interviewers, Except Eligibility and Loan",0.683,"$34,570 ",,
"Library Assistants, Clerical",0.556,"$28,170 ",,
Loan Interviewers and Clerks,0.802,"$40,610 ",,
New Accounts Clerks,0.722,"$36,560 ",,
Order Clerks,0.698,"$35,330 ",,
"Human Resources Assistants, Except Payroll and Timekeeping",0.804,"$40,700 ",,
Receptionists and Information Clerks,0.586,"$29,640 ",,
Reservation and Transportation Ticket Agents and Travel Clerks,0.787,"$39,850 ",,
"Information and Record Clerks, All Other",0.804,"$40,690 ",,
"Material Recording, Scheduling, Dispatching, and Distributing Workers",0.687,"$34,790 ",,
Cargo and Freight Agents,0.889,"$44,980 ",,
Couriers and Messengers,0.593,"$30,000 ",,
Dispatchers,0.832,"$42,110 ",,
"Police, Fire, and Ambulance Dispatchers",0.83,"$42,020 ",,
"Dispatchers, Except Police, Fire, and Ambulance",0.833,"$42,150 ",,
"Meter Readers, Utilities",0.858,"$43,410 ",,
Postal Service Workers,0.988,"$50,010 ",,
Postal Service Clerks,0.982,"$49,730 ",,
Postal Service Mail Carriers,0.988,"$50,020 ",,
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.991,"$50,160 ",,
"Production, Planning, and Expediting Clerks",0.968,"$49,020 ",,
"Shipping, Receiving, and Traffic Clerks",0.668,"$33,790 ",,
Stock Clerks and Order Fillers,0.542,"$27,450 ",,
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.639,"$32,330 ",,
Secretaries and Administrative Assistants,0.811,"$41,060 ",,
Executive Secretaries and Executive Administrative Assistants,1.173,"$59,400 ",,
Legal Secretaries,0.96,"$48,600 ",,
Medical Secretaries,0.709,"$35,870 ",,
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.729,"$36,920 ",,
Other Office and Administrative Support Workers,0.687,"$34,800 ",,
Computer Operators,0.895,"$45,320 ",,
Data Entry and Information Processing Workers,0.687,"$34,800 ",,
Data Entry Keyers,0.643,"$32,530 ",,
Word Processors and Typists,0.811,"$41,070 ",,
Desktop Publishers,0.892,"$45,170 ",,
Insurance Claims and Policy Processing Clerks,0.812,"$41,090 ",,
"Mail Clerks and Mail Machine Operators, Except Postal Service",0.616,"$31,200 ",,
"Office Clerks, General",0.67,"$33,910 ",,
"Office Machine Operators, Except Computer",0.656,"$33,190 ",,
Proofreaders and Copy Markers,0.798,"$40,410 ",,
Statistical Assistants,0.97,"$49,090 ",,
"Office and Administrative Support Workers, All Other",0.738,"$37,360 ",,
"Farming, Fishing, and Forestry Occupations",0.57,"$28,840 ",*,
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.991,"$50,160 ",,
Agricultural Workers,0.525,"$26,580 ",,
Agricultural Inspectors,0.888,"$44,930 ",,
Animal Breeders,0.858,"$43,450 ",,
"Graders and Sorters, Agricultural Products",0.486,"$24,620 ",,
Miscellaneous Agricultural Workers,0.513,"$25,990 ",,
Agricultural Equipment Operators,0.621,"$31,440 ",,
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.495,"$25,070 ",,
"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.55,"$27,840 ",,
"Agricultural Workers, All Other",0.709,"$35,910 ",,
Fishing and Hunting Workers,0.619,"$31,330 ",,
Fishers and Related Fishing Workers,0.616,"$31,190 ",,
"Forest, Conservation, and Logging Workers",0.777,"$39,330 ",,
Forest and Conservation Workers,0.619,"$31,320 ",,
Logging Workers,0.807,"$40,830 ",,
Fallers,0.927,"$46,930 ",,
Logging Equipment Operators,0.787,"$39,820 ",,
Log Graders and Scalers,0.765,"$38,710 ",,
"Logging Workers, All Other",0.805,"$40,730 ",,
Construction and Extraction Occupations,0.986,"$49,930 ",*,
First-Line Supervisors of Construction Trades and Extraction Workers,1.367,"$69,200 ",,
Construction Trades Workers,0.96,"$48,620 ",,
Boilermakers,1.245,"$63,010 ",,
"Brickmasons, Blockmasons, and Stonemasons",1.021,"$51,670 ",,
Brickmasons and Blockmasons,1.055,"$53,390 ",,
Stonemasons,0.837,"$42,370 ",,
Carpenters,0.98,"$49,630 ",,
"Carpet, Floor, and Tile Installers and Finishers",0.89,"$45,030 ",,
Carpet Installers,0.873,"$44,200 ",,
"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.88,"$44,530 ",,
Floor Sanders and Finishers,0.776,"$39,260 ",,
Tile and Marble Setters,0.916,"$46,370 ",,
"Cement Masons, Concrete Finishers, and Terrazzo Workers",0.899,"$45,490 ",,
Cement Masons and Concrete Finishers,0.899,"$45,490 ",,
Terrazzo Workers and Finishers,0.899,"$45,520 ",,
Construction Laborers,0.768,"$38,890 ",,
Construction Equipment Operators,1.008,"$51,050 ",,
"Paving, Surfacing, and Tamping Equipment Operators",0.867,"$43,890 ",,
Pile-Driver Operators,1.26,"$63,770 ",,
Operating Engineers and Other Construction Equipment Operators,1.025,"$51,890 ",,
"Drywall Installers, Ceiling Tile Installers, and Tapers",0.992,"$50,240 ",,
Drywall and Ceiling Tile Installers,0.973,"$49,250 ",,
Tapers,1.097,"$55,540 ",,
Electricians,1.144,"$57,910 ",,
Glaziers,0.938,"$47,480 ",,
Insulation Workers,0.891,"$45,090 ",,
"Insulation Workers, Floor, Ceiling, and Wall",0.802,"$40,600 ",,
"Insulation Workers, Mechanical",1.002,"$50,710 ",,
Painters and Paperhangers,0.826,"$41,830 ",,
"Painters, Construction and Maintenance",0.827,"$41,840 ",,
Paperhangers,0.809,"$40,930 ",,
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1.105,"$55,920 ",,
Pipelayers,0.854,"$43,210 ",,
"Plumbers, Pipefitters, and Steamfitters",1.127,"$57,070 ",,
Plasterers and Stucco Masons,0.897,"$45,410 ",,
Reinforcing Iron and Rebar Workers,1.072,"$54,270 ",,
Roofers,0.845,"$42,780 ",,
Sheet Metal Workers,1.029,"$52,100 ",,
Structural Iron and Steel Workers,1.125,"$56,940 ",,
Solar Photovoltaic Installers,0.85,"$43,010 ",,
"Helpers, Construction Trades",0.632,"$31,980 ",,
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.692,"$35,020 ",,
Helpers--Carpenters,0.614,"$31,100 ",,
Helpers--Electricians,0.633,"$32,040 ",,
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.604,"$30,570 ",,
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.629,"$31,830 ",,
Helpers--Roofers,0.587,"$29,710 ",,
"Helpers, Construction Trades, All Other",0.629,"$31,830 ",,
Other Construction and Related Workers,0.966,"$48,920 ",,
Construction and Building Inspectors,1.225,"$62,020 ",,
Elevator Installers and Repairers,1.524,"$77,130 ",,
Fence Erectors,0.716,"$36,260 ",,
Hazardous Materials Removal Workers,0.915,"$46,330 ",,
Highway Maintenance Workers,0.796,"$40,300 ",,
Rail-Track Laying and Maintenance Equipment Operators,1.113,"$56,360 ",,
Septic Tank Servicers and Sewer Pipe Cleaners,0.802,"$40,590 ",,
Miscellaneous Construction and Related Workers,0.834,"$42,220 ",,
Extraction Workers,0.938,"$47,480 ",,
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",1.05,"$53,170 ",,
"Derrick Operators, Oil and Gas",0.939,"$47,510 ",,
"Rotary Drill Operators, Oil and Gas",1.11,"$56,180 ",,
"Service Unit Operators, Oil, Gas, and Mining",1.054,"$53,370 ",,
"Earth Drillers, Except Oil and Gas",0.938,"$47,480 ",,
"Explosives Workers, Ordnance Handling Experts, and Blasters",1.043,"$52,790 ",,
Mining Machine Operators,1.061,"$53,710 ",,
Continuous Mining Machine Operators,1.087,"$55,040 ",,
Mine Cutting and Channeling Machine Operators,1.034,"$52,360 ",,
"Mining Machine Operators, All Other",1.001,"$50,670 ",,
"Rock Splitters, Quarry",0.712,"$36,050 ",,
"Roof Bolters, Mining",1.172,"$59,310 ",,
"Roustabouts, Oil and Gas",0.787,"$39,850 ",,
Helpers--Extraction Workers,0.728,"$36,870 ",,
"Extraction Workers, All Other",1.001,"$50,690 ",,
"Installation, Maintenance, and Repair Occupations",0.946,"$47,870 ",*,
"First-Line Supervisors of Mechanics, Installers, and Repairers",1.346,"$68,120 ",,
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1.027,"$52,010 ",,
"Computer, Automated Teller, and Office Machine Repairers",0.793,"$40,140 ",,
Radio and Telecommunications Equipment Installers and Repairers,1.09,"$55,160 ",,
"Radio, Cellular, and Tower Equipment Installers and Repairers",1.127,"$57,050 ",,
"Telecommunications Equipment Installers and Repairers, Except Line Installers",1.087,"$55,030 ",,
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1.06,"$53,680 ",,
Avionics Technicians,1.257,"$63,650 ",,
"Electric Motor, Power Tool, and Related Repairers",0.913,"$46,230 ",,
"Electrical and Electronics Installers and Repairers, Transportation Equipment",1.225,"$62,030 ",,
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",1.151,"$58,250 ",,
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1.536,"$77,770 ",,
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.712,"$36,050 ",,
Electronic Home Entertainment Equipment Installers and Repairers,0.77,"$38,980 ",,
Security and Fire Alarm Systems Installers,0.93,"$47,100 ",,
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",0.888,"$44,970 ",,
Aircraft Mechanics and Service Technicians,1.235,"$62,540 ",,
Automotive Technicians and Repairers,0.85,"$43,020 ",,
Automotive Body and Related Repairers,0.901,"$45,630 ",,
Automotive Glass Installers and Repairers,0.708,"$35,830 ",,
Automotive Service Technicians and Mechanics,0.843,"$42,660 ",,
Bus and Truck Mechanics and Diesel Engine Specialists,0.948,"$48,000 ",,
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,1.004,"$50,800 ",,
Farm Equipment Mechanics and Service Technicians,0.808,"$40,880 ",,
"Mobile Heavy Equipment Mechanics, Except Engines",1.035,"$52,370 ",,
Rail Car Repairers,1.114,"$56,380 ",,
Small Engine Mechanics,0.754,"$38,190 ",,
Motorboat Mechanics and Service Technicians,0.817,"$41,350 ",,
Motorcycle Mechanics,0.756,"$38,270 ",,
Outdoor Power Equipment and Other Small Engine Mechanics,0.712,"$36,020 ",,
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",0.587,"$29,700 ",,
Bicycle Repairers,0.58,"$29,370 ",,
Recreational Vehicle Service Technicians,0.774,"$39,160 ",,
Tire Repairers and Changers,0.563,"$28,510 ",,
"Other Installation, Maintenance, and Repair Occupations",0.897,"$45,390 ",,
Control and Valve Installers and Repairers,1.041,"$52,710 ",,
Mechanical Door Repairers,0.819,"$41,460 ",,
"Control and Valve Installers and Repairers, Except Mechanical Door",1.139,"$57,660 ",,
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.978,"$49,530 ",,
Home Appliance Repairers,0.806,"$40,790 ",,
"Industrial Machinery Installation, Repair, and Maintenance Workers",1.032,"$52,250 ",,
Industrial Machinery Mechanics,1.049,"$53,110 ",,
"Maintenance Workers, Machinery",0.933,"$47,240 ",,
Millwrights,1.092,"$55,290 ",,
"Refractory Materials Repairers, Except Brickmasons",0.989,"$50,080 ",,
Line Installers and Repairers,1.24,"$62,790 ",,
Electrical Power-Line Installers and Repairers,1.357,"$68,710 ",,
Telecommunications Line Installers and Repairers,1.113,"$56,340 ",,
Precision Instrument and Equipment Repairers,1.003,"$50,760 ",,
Camera and Photographic Equipment Repairers,0.84,"$42,510 ",,
Medical Equipment Repairers,1.032,"$52,260 ",,
Musical Instrument Repairers and Tuners,0.771,"$39,040 ",,
Watch Repairers,0.781,"$39,530 ",,
"Precision Instrument and Equipment Repairers, All Other",1.143,"$57,850 ",,
"Maintenance and Repair Workers, General",0.796,"$40,280 ",,
Wind Turbine Service Technicians,1.12,"$56,680 ",,
"Miscellaneous Installation, Maintenance, and Repair Workers",0.771,"$39,020 ",,
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.697,"$35,290 ",,
Commercial Divers,1.092,"$55,270 ",,
"Fabric Menders, Except Garment",0.583,"$29,530 ",,
Locksmiths and Safe Repairers,0.844,"$42,730 ",,
Manufactured Building and Mobile Home Installers,0.628,"$31,810 ",,
Riggers,0.993,"$50,270 ",,
Signal and Track Switch Repairers,1.299,"$65,750 ",,
"Helpers--Installation, Maintenance, and Repair Workers",0.601,"$30,430 ",,
"Installation, Maintenance, and Repair Workers, All Other",0.84,"$42,500 ",,
Production Occupations,0.752,"$38,070 ",*,
First-Line Supervisors of Production and Operating Workers,1.238,"$62,660 ",,
Assemblers and Fabricators,0.683,"$34,560 ",,
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.094,"$55,400 ",,
"Electrical, Electronics, and Electromechanical Assemblers",0.69,"$34,910 ",,
"Coil Winders, Tapers, and Finishers",0.693,"$35,080 ",,
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",0.689,"$34,900 ",,
Engine and Other Machine Assemblers,0.879,"$44,520 ",,
Structural Metal Fabricators and Fitters,0.8,"$40,490 ",,
Miscellaneous Assemblers and Fabricators,0.656,"$33,210 ",,
Fiberglass Laminators and Fabricators,0.691,"$34,960 ",,
Timing Device Assemblers and Adjusters,0.737,"$37,310 ",,
"Assemblers and Fabricators, All Other, Including Team Assemblers",0.655,"$33,180 ",,
Food Processing Workers,0.574,"$29,070 ",,
Bakers,0.552,"$27,920 ",,
"Butchers and Other Meat, Poultry, and Fish Processing Workers",0.572,"$28,960 ",,
Butchers and Meat Cutters,0.643,"$32,570 ",,
"Meat, Poultry, and Fish Cutters and Trimmers",0.522,"$26,430 ",,
Slaughterers and Meat Packers,0.55,"$27,830 ",,
Miscellaneous Food Processing Workers,0.594,"$30,080 ",,
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.626,"$31,680 ",,
Food Batchmakers,0.61,"$30,880 ",,
Food Cooking Machine Operators and Tenders,0.597,"$30,240 ",,
"Food Processing Workers, All Other",0.521,"$26,390 ",,
Metal Workers and Plastic Workers,0.803,"$40,650 ",,
Computer Control Programmers and Operators,0.851,"$43,100 ",,
"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.81,"$41,010 ",,
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",1.102,"$55,770 ",,
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",0.742,"$37,540 ",,
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.712,"$36,050 ",,
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.797,"$40,340 ",,
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.787,"$39,840 ",,
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",0.714,"$36,140 ",,
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.687,"$34,770 ",,
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.807,"$40,870 ",,
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.702,"$35,520 ",,
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.796,"$40,310 ",,
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.856,"$43,330 ",,
Machinists,0.872,"$44,160 ",,
"Metal Furnace Operators, Tenders, Pourers, and Casters",0.814,"$41,210 ",,
Metal-Refining Furnace Operators and Tenders,0.825,"$41,770 ",,
"Pourers and Casters, Metal",0.789,"$39,930 ",,
"Model Makers and Patternmakers, Metal and Plastic",1.02,"$51,650 ",,
"Model Makers, Metal and Plastic",1.083,"$54,820 ",,
"Patternmakers, Metal and Plastic",0.906,"$45,880 ",,
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",0.668,"$33,810 ",,
Foundry Mold and Coremakers,0.72,"$36,440 ",,
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.663,"$33,570 ",,
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.724,"$36,650 ",,
Tool and Die Makers,1.052,"$53,260 ",,
"Welding, Soldering, and Brazing Workers",0.849,"$42,980 ",,
"Welders, Cutters, Solderers, and Brazers",0.858,"$43,410 ",,
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.768,"$38,880 ",,
Miscellaneous Metal Workers and Plastic Workers,0.741,"$37,490 ",,
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.765,"$38,720 ",,
"Layout Workers, Metal and Plastic",0.926,"$46,890 ",,
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.68,"$34,430 ",,
"Tool Grinders, Filers, and Sharpeners",0.766,"$38,800 ",,
"Metal Workers and Plastic Workers, All Other",0.74,"$37,440 ",,
Printing Workers,0.743,"$37,610 ",,
Prepress Technicians and Workers,0.825,"$41,770 ",,
Printing Press Operators,0.748,"$37,860 ",,
Print Binding and Finishing Workers,0.672,"$34,040 ",,
"Textile, Apparel, and Furnishings Workers",0.53,"$26,810 ",,
Laundry and Dry-Cleaning Workers,0.47,"$23,770 ",,
"Pressers, Textile, Garment, and Related Materials",0.456,"$23,080 ",,
Sewing Machine Operators,0.519,"$26,250 ",,
Shoe and Leather Workers,0.544,"$27,540 ",,
Shoe and Leather Workers and Repairers,0.544,"$27,550 ",,
Shoe Machine Operators and Tenders,0.544,"$27,530 ",,
"Tailors, Dressmakers, and Sewers",0.614,"$31,080 ",,
"Sewers, Hand",0.544,"$27,540 ",,
"Tailors, Dressmakers, and Custom Sewers",0.635,"$32,150 ",,
"Textile Machine Setters, Operators, and Tenders",0.571,"$28,900 ",,
Textile Bleaching and Dyeing Machine Operators and Tenders,0.576,"$29,150 ",,
"Textile Cutting Machine Setters, Operators, and Tenders",0.561,"$28,400 ",,
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.575,"$29,100 ",,
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.571,"$28,920 ",,
"Miscellaneous Textile, Apparel, and Furnishings Workers",0.695,"$35,180 ",,
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.686,"$34,720 ",,
Fabric and Apparel Patternmakers,0.982,"$49,690 ",,
Upholsterers,0.693,"$35,060 ",,
"Textile, Apparel, and Furnishings Workers, All Other",0.618,"$31,280 ",,
